"city_no","walk_no","reward","step_no","node","node_reward","node_rt","H","B","A","v","subjID","mean","median","sd","best_leaf","best_reward","worst_leaf","worst_reward","path_leaf"
1,1,143,1,2,51,2958,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"27"
1,1,143,2,7,53,1336,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"27"
1,1,143,3,27,39,528,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"27"
1,2,166,1,5,69,739,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"75"
1,2,166,2,19,39,876,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"75"
1,2,166,3,75,58,2376,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"75"
1,3,185,1,4,35,763,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"64"
1,3,185,2,16,57,992,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"64"
1,3,185,3,64,93,2056,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"64"
1,4,153,1,3,39,831,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"42"
1,4,153,2,11,52,552,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"42"
1,4,153,3,42,62,697,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"42"
1,5,152,1,4,35,745,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"63"
1,5,152,2,16,56,680,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"63"
1,5,152,3,63,61,696,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"63"
1,6,165,1,5,68,1247,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"75"
1,6,165,2,19,40,601,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"75"
1,6,165,3,75,57,903,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"75"
1,7,135,1,5,70,567,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"76"
1,7,135,2,19,42,465,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"76"
1,7,135,3,76,23,823,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"76"
1,8,184,1,2,54,1611,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"35"
1,8,184,2,9,43,792,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"35"
1,8,184,3,35,87,551,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"35"
1,9,123,1,2,51,637,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"36"
1,9,123,2,9,39,560,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"36"
1,9,123,3,36,33,681,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"36"
1,10,182,1,2,54,1419,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"35"
1,10,182,2,9,40,658,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"35"
1,10,182,3,35,88,686,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"35"
1,11,178,1,2,54,740,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"35"
1,11,178,2,9,39,489,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"35"
1,11,178,3,35,85,463,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"35"
1,12,177,1,2,52,1500,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"35"
1,12,177,2,9,37,632,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"35"
1,12,177,3,35,88,760,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"35"
1,13,173,1,2,53,274,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"35"
1,13,173,2,9,36,656,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"35"
1,13,173,3,35,84,559,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"35"
1,14,181,1,2,54,502,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"35"
1,14,181,2,9,38,664,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"35"
1,14,181,3,35,89,592,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"35"
1,15,173,1,2,50,466,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"35"
1,15,173,2,9,36,640,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"35"
1,15,173,3,35,87,624,4,4,0,2,1,148.828125,144,19.9033814527574,79,197,22,116,"35"
2,1,46,1,4,46,2781,2,3,0,3,1,55.6666666666667,52,10.9696551146029,4,68,2,47,"4"
2,2,54,1,2,54,1732,2,3,0,3,1,55.6666666666667,52,10.9696551146029,4,68,2,47,"2"
2,3,50,1,2,50,698,2,3,0,3,1,55.6666666666667,52,10.9696551146029,4,68,2,47,"2"
2,4,70,1,3,70,181,2,3,0,3,1,55.6666666666667,52,10.9696551146029,4,68,2,47,"3"
2,5,65,1,3,65,381,2,3,0,3,1,55.6666666666667,52,10.9696551146029,4,68,2,47,"3"
2,6,67,1,3,67,141,2,3,0,3,1,55.6666666666667,52,10.9696551146029,4,68,2,47,"3"
2,7,69,1,3,69,148,2,3,0,3,1,55.6666666666667,52,10.9696551146029,4,68,2,47,"3"
2,8,69,1,3,69,38,2,3,0,3,1,55.6666666666667,52,10.9696551146029,4,68,2,47,"3"
2,9,70,1,3,70,50,2,3,0,3,1,55.6666666666667,52,10.9696551146029,4,68,2,47,"3"
2,10,66,1,3,66,172,2,3,0,3,1,55.6666666666667,52,10.9696551146029,4,68,2,47,"3"
2,11,70,1,3,70,260,2,3,0,3,1,55.6666666666667,52,10.9696551146029,4,68,2,47,"3"
2,12,65,1,3,65,663,2,3,0,3,1,55.6666666666667,52,10.9696551146029,4,68,2,47,"3"
2,13,69,1,3,69,323,2,3,0,3,1,55.6666666666667,52,10.9696551146029,4,68,2,47,"3"
2,14,65,1,3,65,284,2,3,0,3,1,55.6666666666667,52,10.9696551146029,4,68,2,47,"3"
2,15,68,1,3,68,251,2,3,0,3,1,55.6666666666667,52,10.9696551146029,4,68,2,47,"3"
3,1,109,1,3,77,1636,3,2,0,4,1,131.25,131,22.2317340754157,5,151,6,112,"7"
3,1,109,2,7,32,912,3,2,0,4,1,131.25,131,22.2317340754157,5,151,6,112,"7"
3,2,145,1,2,51,1340,3,2,0,4,1,131.25,131,22.2317340754157,5,151,6,112,"5"
3,2,145,2,5,94,1576,3,2,0,4,1,131.25,131,22.2317340754157,5,151,6,112,"5"
3,3,113,1,2,52,1404,3,2,0,4,1,131.25,131,22.2317340754157,5,151,6,112,"4"
3,3,113,2,4,61,496,3,2,0,4,1,131.25,131,22.2317340754157,5,151,6,112,"4"
3,4,145,1,3,76,973,3,2,0,4,1,131.25,131,22.2317340754157,5,151,6,112,"6"
3,4,145,2,6,69,488,3,2,0,4,1,131.25,131,22.2317340754157,5,151,6,112,"6"
3,5,111,1,3,79,915,3,2,0,4,1,131.25,131,22.2317340754157,5,151,6,112,"7"
3,5,111,2,7,32,784,3,2,0,4,1,131.25,131,22.2317340754157,5,151,6,112,"7"
3,6,145,1,3,74,461,3,2,0,4,1,131.25,131,22.2317340754157,5,151,6,112,"6"
3,6,145,2,6,71,505,3,2,0,4,1,131.25,131,22.2317340754157,5,151,6,112,"6"
3,7,154,1,3,80,460,3,2,0,4,1,131.25,131,22.2317340754157,5,151,6,112,"6"
3,7,154,2,6,74,591,3,2,0,4,1,131.25,131,22.2317340754157,5,151,6,112,"6"
3,8,152,1,3,77,452,3,2,0,4,1,131.25,131,22.2317340754157,5,151,6,112,"6"
3,8,152,2,6,75,488,3,2,0,4,1,131.25,131,22.2317340754157,5,151,6,112,"6"
3,9,151,1,3,78,500,3,2,0,4,1,131.25,131,22.2317340754157,5,151,6,112,"6"
3,9,151,2,6,73,576,3,2,0,4,1,131.25,131,22.2317340754157,5,151,6,112,"6"
3,10,149,1,2,58,781,3,2,0,4,1,131.25,131,22.2317340754157,5,151,6,112,"5"
3,10,149,2,5,91,586,3,2,0,4,1,131.25,131,22.2317340754157,5,151,6,112,"5"
3,11,150,1,2,55,384,3,2,0,4,1,131.25,131,22.2317340754157,5,151,6,112,"5"
3,11,150,2,5,95,640,3,2,0,4,1,131.25,131,22.2317340754157,5,151,6,112,"5"
3,12,145,1,2,53,387,3,2,0,4,1,131.25,131,22.2317340754157,5,151,6,112,"5"
3,12,145,2,5,92,608,3,2,0,4,1,131.25,131,22.2317340754157,5,151,6,112,"5"
3,13,148,1,2,54,413,3,2,0,4,1,131.25,131,22.2317340754157,5,151,6,112,"5"
3,13,148,2,5,94,664,3,2,0,4,1,131.25,131,22.2317340754157,5,151,6,112,"5"
3,14,155,1,3,80,945,3,2,0,4,1,131.25,131,22.2317340754157,5,151,6,112,"6"
3,14,155,2,6,75,770,3,2,0,4,1,131.25,131,22.2317340754157,5,151,6,112,"6"
3,15,150,1,3,75,680,3,2,0,4,1,131.25,131,22.2317340754157,5,151,6,112,"6"
3,15,150,2,6,75,624,3,2,0,4,1,131.25,131,22.2317340754157,5,151,6,112,"6"
4,1,99,1,4,64,2145,3,3,0,6,1,100.555555555556,106,19.5263354928102,10,129,11,67,"13"
4,1,99,2,13,35,872,3,3,0,6,1,100.555555555556,106,19.5263354928102,10,129,11,67,"13"
4,2,71,1,2,63,380,3,3,0,6,1,100.555555555556,106,19.5263354928102,10,129,11,67,"5"
4,2,71,2,5,8,872,3,3,0,6,1,100.555555555556,106,19.5263354928102,10,129,11,67,"5"
4,3,111,1,3,39,770,3,3,0,6,1,100.555555555556,106,19.5263354928102,10,129,11,67,"9"
4,3,111,2,9,72,1528,3,3,0,6,1,100.555555555556,106,19.5263354928102,10,129,11,67,"9"
4,4,101,1,4,67,1323,3,3,0,6,1,100.555555555556,106,19.5263354928102,10,129,11,67,"13"
4,4,101,2,13,34,472,3,3,0,6,1,100.555555555556,106,19.5263354928102,10,129,11,67,"13"
4,5,99,1,4,58,209,3,3,0,6,1,100.555555555556,106,19.5263354928102,10,129,11,67,"12"
4,5,99,2,12,41,664,3,3,0,6,1,100.555555555556,106,19.5263354928102,10,129,11,67,"12"
4,6,106,1,4,63,476,3,3,0,6,1,100.555555555556,106,19.5263354928102,10,129,11,67,"11"
4,6,106,2,11,43,736,3,3,0,6,1,100.555555555556,106,19.5263354928102,10,129,11,67,"11"
4,7,121,1,3,41,710,3,3,0,6,1,100.555555555556,106,19.5263354928102,10,129,11,67,"9"
4,7,121,2,9,80,487,3,3,0,6,1,100.555555555556,106,19.5263354928102,10,129,11,67,"9"
4,8,125,1,3,36,752,3,3,0,6,1,100.555555555556,106,19.5263354928102,10,129,11,67,"8"
4,8,125,2,8,89,888,3,3,0,6,1,100.555555555556,106,19.5263354928102,10,129,11,67,"8"
4,9,79,1,3,37,1303,3,3,0,6,1,100.555555555556,106,19.5263354928102,10,129,11,67,"10"
4,9,79,2,10,42,576,3,3,0,6,1,100.555555555556,106,19.5263354928102,10,129,11,67,"10"
4,10,127,1,3,38,377,3,3,0,6,1,100.555555555556,106,19.5263354928102,10,129,11,67,"8"
4,10,127,2,8,89,688,3,3,0,6,1,100.555555555556,106,19.5263354928102,10,129,11,67,"8"
4,11,129,1,3,40,459,3,3,0,6,1,100.555555555556,106,19.5263354928102,10,129,11,67,"8"
4,11,129,2,8,89,480,3,3,0,6,1,100.555555555556,106,19.5263354928102,10,129,11,67,"8"
4,12,88,1,2,61,963,3,3,0,6,1,100.555555555556,106,19.5263354928102,10,129,11,67,"6"
4,12,88,2,6,27,528,3,3,0,6,1,100.555555555556,106,19.5263354928102,10,129,11,67,"6"
4,13,134,1,3,39,1596,3,3,0,6,1,100.555555555556,106,19.5263354928102,10,129,11,67,"8"
4,13,134,2,8,95,543,3,3,0,6,1,100.555555555556,106,19.5263354928102,10,129,11,67,"8"
4,14,129,1,3,38,443,3,3,0,6,1,100.555555555556,106,19.5263354928102,10,129,11,67,"8"
4,14,129,2,8,91,568,3,3,0,6,1,100.555555555556,106,19.5263354928102,10,129,11,67,"8"
4,15,130,1,3,39,739,3,3,0,6,1,100.555555555556,106,19.5263354928102,10,129,11,67,"8"
4,15,130,2,8,91,752,3,3,0,6,1,100.555555555556,106,19.5263354928102,10,129,11,67,"8"
5,1,118,1,5,62,1845,3,4,0,6,1,94.1875,92,11.2973079389148,18,122,9,74,"20"
5,1,118,2,20,56,1184,3,4,0,6,1,94.1875,92,11.2973079389148,18,122,9,74,"20"
5,2,95,1,2,52,1660,3,4,0,6,1,94.1875,92,11.2973079389148,18,122,9,74,"8"
5,2,95,2,8,43,686,3,4,0,6,1,94.1875,92,11.2973079389148,18,122,9,74,"8"
5,3,115,1,3,48,546,3,4,0,6,1,94.1875,92,11.2973079389148,18,122,9,74,"13"
5,3,115,2,13,67,616,3,4,0,6,1,94.1875,92,11.2973079389148,18,122,9,74,"13"
5,4,82,1,4,61,1265,3,4,0,6,1,94.1875,92,11.2973079389148,18,122,9,74,"16"
5,4,82,2,16,21,408,3,4,0,6,1,94.1875,92,11.2973079389148,18,122,9,74,"16"
