"subjID","alpha","gamma","beta","tau","H","B","A","v","walk_no","path_leaf","reward","node","node_reward","step_no"
1,0,0,1,1,2,2,0,5,1,3,24,3,24,1
1,0,0,1,1,2,2,0,5,2,3,24,3,24,1
1,0,0,1,1,2,2,0,5,3,3,26,3,26,1
1,0,0,1,1,2,2,0,5,4,3,26,3,26,1
1,0,0,1,1,2,2,0,5,5,3,31,3,31,1
1,0,0,1,1,2,2,0,5,6,3,31,3,31,1
1,0,0,1,1,2,2,0,5,7,3,28,3,28,1
1,0,0,1,1,2,2,0,5,8,3,28,3,28,1
1,0,0,1,1,2,2,0,5,9,3,28,3,28,1
1,0,0,1,1,2,2,0,5,10,3,26,3,26,1
1,0,0,1,1,2,2,0,5,11,3,29,3,29,1
1,0,0,1,1,2,2,0,5,12,3,28,3,28,1
1,0,0,1,1,2,2,0,5,13,3,29,3,29,1
1,0,0,1,1,2,2,0,5,14,3,27,3,27,1
1,0,0,1,1,2,2,0,5,15,3,29,3,29,1
1,0,0,1,1,2,2,1,1,1,3,48,3,48,1
1,0,0,1,1,2,2,1,1,2,3,48,3,48,1
1,0,0,1,1,2,2,1,1,3,3,51,3,51,1
1,0,0,1,1,2,2,1,1,4,3,48,3,48,1
1,0,0,1,1,2,2,1,1,5,3,52,3,52,1
1,0,0,1,1,2,2,1,1,6,3,51,3,51,1
1,0,0,1,1,2,2,1,1,7,3,49,3,49,1
1,0,0,1,1,2,2,1,1,8,3,52,3,52,1
1,0,0,1,1,2,2,1,1,9,3,52,3,52,1
1,0,0,1,1,2,2,1,1,10,3,51,3,51,1
1,0,0,1,1,2,2,1,1,11,3,51,3,51,1
1,0,0,1,1,2,2,1,1,12,3,53,3,53,1
1,0,0,1,1,2,2,1,1,13,3,53,3,53,1
1,0,0,1,1,2,2,1,1,14,3,56,3,56,1
1,0,0,1,1,2,2,1,1,15,3,50,3,50,1
1,0,0,1,1,2,3,0,9,1,2,43,2,43,1
1,0,0,1,1,2,3,0,9,2,2,49,2,49,1
1,0,0,1,1,2,3,0,9,3,2,48,2,48,1
1,0,0,1,1,2,3,0,9,4,2,48,2,48,1
1,0,0,1,1,2,3,0,9,5,2,51,2,51,1
1,0,0,1,1,2,3,0,9,6,2,47,2,47,1
1,0,0,1,1,2,3,0,9,7,2,48,2,48,1
1,0,0,1,1,2,3,0,9,8,2,49,2,49,1
1,0,0,1,1,2,3,0,9,9,2,48,2,48,1
1,0,0,1,1,2,3,0,9,10,2,48,2,48,1
1,0,0,1,1,2,3,0,9,11,2,47,2,47,1
1,0,0,1,1,2,3,0,9,12,2,51,2,51,1
1,0,0,1,1,2,3,0,9,13,2,48,2,48,1
1,0,0,1,1,2,3,0,9,14,2,47,2,47,1
1,0,0,1,1,2,3,0,9,15,2,50,2,50,1
1,0,0,1,1,2,3,1,4,1,4,71,4,71,1
1,0,0,1,1,2,3,1,4,2,4,73,4,73,1
1,0,0,1,1,2,3,1,4,3,4,74,4,74,1
1,0,0,1,1,2,3,1,4,4,4,72,4,72,1
1,0,0,1,1,2,3,1,4,5,4,73,4,73,1
1,0,0,1,1,2,3,1,4,6,4,75,4,75,1
1,0,0,1,1,2,3,1,4,7,4,73,4,73,1
1,0,0,1,1,2,3,1,4,8,4,72,4,72,1
1,0,0,1,1,2,3,1,4,9,4,77,4,77,1
1,0,0,1,1,2,3,1,4,10,4,74,4,74,1
1,0,0,1,1,2,3,1,4,11,4,71,4,71,1
1,0,0,1,1,2,3,1,4,12,4,74,4,74,1
1,0,0,1,1,2,3,1,4,13,4,72,4,72,1
1,0,0,1,1,2,3,1,4,14,4,74,4,74,1
1,0,0,1,1,2,3,1,4,15,4,72,4,72,1
1,0,0,1,1,2,4,0,0,1,4,43,4,43,1
1,0,0,1,1,2,4,0,0,2,4,47,4,47,1
1,0,0,1,1,2,4,0,0,3,4,45,4,45,1
1,0,0,1,1,2,4,0,0,4,4,44,4,44,1
1,0,0,1,1,2,4,0,0,5,4,43,4,43,1
1,0,0,1,1,2,4,0,0,6,4,43,4,43,1
1,0,0,1,1,2,4,0,0,7,4,43,4,43,1
1,0,0,1,1,2,4,0,0,8,4,40,4,40,1
1,0,0,1,1,2,4,0,0,9,4,46,4,46,1
1,0,0,1,1,2,4,0,0,10,4,41,4,41,1
1,0,0,1,1,2,4,0,0,11,4,40,4,40,1
1,0,0,1,1,2,4,0,0,12,4,44,4,44,1
1,0,0,1,1,2,4,0,0,13,4,46,4,46,1
1,0,0,1,1,2,4,0,0,14,4,43,4,43,1
1,0,0,1,1,2,4,0,0,15,4,41,4,41,1
1,0,0,1,1,2,4,1,3,1,5,34,5,34,1
1,0,0,1,1,2,4,1,3,2,5,40,5,40,1
1,0,0,1,1,2,4,1,3,3,5,37,5,37,1
1,0,0,1,1,2,4,1,3,4,5,33,5,33,1
1,0,0,1,1,2,4,1,3,5,5,40,5,40,1
1,0,0,1,1,2,4,1,3,6,5,39,5,39,1
1,0,0,1,1,2,4,1,3,7,5,34,5,34,1
1,0,0,1,1,2,4,1,3,8,5,37,5,37,1
1,0,0,1,1,2,4,1,3,9,5,34,5,34,1
1,0,0,1,1,2,4,1,3,10,5,35,5,35,1
1,0,0,1,1,2,4,1,3,11,5,34,5,34,1
1,0,0,1,1,2,4,1,3,12,5,33,5,33,1
1,0,0,1,1,2,4,1,3,13,5,36,5,36,1
1,0,0,1,1,2,4,1,3,14,5,37,5,37,1
1,0,0,1,1,2,4,1,3,15,5,34,5,34,1
1,0,0,1,1,3,2,0,7,1,7,83,3,41,1
1,0,0,1,1,3,2,0,7,1,7,83,7,42,2
1,0,0,1,1,3,2,0,7,2,6,102,3,45,1
1,0,0,1,1,3,2,0,7,2,6,102,6,57,2
1,0,0,1,1,3,2,0,7,3,7,86,3,41,1
1,0,0,1,1,3,2,0,7,3,7,86,7,45,2
1,0,0,1,1,3,2,0,7,4,7,81,3,41,1
1,0,0,1,1,3,2,0,7,4,7,81,7,40,2
1,0,0,1,1,3,2,0,7,5,6,104,3,45,1
1,0,0,1,1,3,2,0,7,5,6,104,6,59,2
1,0,0,1,1,3,2,0,7,6,6,90,3,37,1
1,0,0,1,1,3,2,0,7,6,6,90,6,53,2
1,0,0,1,1,3,2,0,7,7,7,88,3,42,1
1,0,0,1,1,3,2,0,7,7,7,88,7,46,2
1,0,0,1,1,3,2,0,7,8,7,82,3,39,1
1,0,0,1,1,3,2,0,7,8,7,82,7,43,2
1,0,0,1,1,3,2,0,7,9,6,100,3,41,1
1,0,0,1,1,3,2,0,7,9,6,100,6,59,2
1,0,0,1,1,3,2,0,7,10,7,91,3,46,1
1,0,0,1,1,3,2,0,7,10,7,91,7,45,2
1,0,0,1,1,3,2,0,7,11,6,98,3,42,1
1,0,0,1,1,3,2,0,7,11,6,98,6,56,2
1,0,0,1,1,3,2,0,7,12,6,97,3,40,1
1,0,0,1,1,3,2,0,7,12,6,97,6,57,2
1,0,0,1,1,3,2,0,7,13,7,87,3,39,1
1,0,0,1,1,3,2,0,7,13,7,87,7,48,2
1,0,0,1,1,3,2,0,7,14,6,101,3,42,1
