"subjID","beta","H","B","A","v","walk_no","path_leaf","reward","node","node_reward","step_no"
1,0.4,2,2,0,7,1,2,81,2,81,1
1,0.4,2,2,0,7,2,2,80,2,80,1
1,0.4,2,2,0,7,3,2,79,2,79,1
1,0.4,2,2,0,7,4,2,80,2,80,1
1,0.4,2,2,0,7,5,2,77,2,77,1
1,0.4,2,2,0,7,6,2,81,2,81,1
1,0.4,2,2,0,7,7,2,79,2,79,1
1,0.4,2,2,0,7,8,2,81,2,81,1
1,0.4,2,2,0,7,9,2,85,2,85,1
1,0.4,2,2,0,7,10,2,83,2,83,1
1,0.4,2,2,0,7,11,2,79,2,79,1
1,0.4,2,2,0,7,12,2,82,2,82,1
1,0.4,2,2,0,7,13,2,85,2,85,1
1,0.4,2,2,0,7,14,2,82,2,82,1
1,0.4,2,2,0,7,15,2,83,2,83,1
1,0.4,2,2,1,1,1,3,50,3,50,1
1,0.4,2,2,1,1,2,2,47,2,47,1
1,0.4,2,2,1,1,3,3,49,3,49,1
1,0.4,2,2,1,1,4,2,45,2,45,1
1,0.4,2,2,1,1,5,3,51,3,51,1
1,0.4,2,2,1,1,6,3,54,3,54,1
1,0.4,2,2,1,1,7,3,48,3,48,1
1,0.4,2,2,1,1,8,3,53,3,53,1
1,0.4,2,2,1,1,9,3,51,3,51,1
1,0.4,2,2,1,1,10,3,48,3,48,1
1,0.4,2,2,1,1,11,3,51,3,51,1
1,0.4,2,2,1,1,12,3,50,3,50,1
1,0.4,2,2,1,1,13,3,51,3,51,1
1,0.4,2,2,1,1,14,3,49,3,49,1
1,0.4,2,2,1,1,15,3,50,3,50,1
1,0.4,2,3,0,7,1,4,44,4,44,1
1,0.4,2,3,0,7,2,2,36,2,36,1
1,0.4,2,3,0,7,3,3,40,3,40,1
1,0.4,2,3,0,7,4,4,42,4,42,1
1,0.4,2,3,0,7,5,3,42,3,42,1
1,0.4,2,3,0,7,6,4,43,4,43,1
1,0.4,2,3,0,7,7,2,40,2,40,1
1,0.4,2,3,0,7,8,4,44,4,44,1
1,0.4,2,3,0,7,9,3,37,3,37,1
1,0.4,2,3,0,7,10,4,48,4,48,1
1,0.4,2,3,0,7,11,4,41,4,41,1
1,0.4,2,3,0,7,12,4,41,4,41,1
1,0.4,2,3,0,7,13,4,48,4,48,1
1,0.4,2,3,0,7,14,4,41,4,41,1
1,0.4,2,3,0,7,15,4,44,4,44,1
1,0.4,2,3,1,4,1,2,69,2,69,1
1,0.4,2,3,1,4,2,2,70,2,70,1
1,0.4,2,3,1,4,3,2,70,2,70,1
1,0.4,2,3,1,4,4,2,71,2,71,1
1,0.4,2,3,1,4,5,2,69,2,69,1
1,0.4,2,3,1,4,6,2,70,2,70,1
1,0.4,2,3,1,4,7,2,67,2,67,1
1,0.4,2,3,1,4,8,2,67,2,67,1
1,0.4,2,3,1,4,9,2,67,2,67,1
1,0.4,2,3,1,4,10,2,65,2,65,1
1,0.4,2,3,1,4,11,2,70,2,70,1
1,0.4,2,3,1,4,12,2,68,2,68,1
1,0.4,2,3,1,4,13,2,68,2,68,1
1,0.4,2,3,1,4,14,2,68,2,68,1
1,0.4,2,3,1,4,15,2,68,2,68,1
1,0.4,2,4,0,5,1,2,54,2,54,1
1,0.4,2,4,0,5,2,2,56,2,56,1
1,0.4,2,4,0,5,3,2,55,2,55,1
1,0.4,2,4,0,5,4,2,56,2,56,1
1,0.4,2,4,0,5,5,2,57,2,57,1
1,0.4,2,4,0,5,6,2,52,2,52,1
1,0.4,2,4,0,5,7,2,54,2,54,1
1,0.4,2,4,0,5,8,2,56,2,56,1
1,0.4,2,4,0,5,9,2,57,2,57,1
1,0.4,2,4,0,5,10,2,57,2,57,1
1,0.4,2,4,0,5,11,2,56,2,56,1
1,0.4,2,4,0,5,12,2,54,2,54,1
1,0.4,2,4,0,5,13,2,53,2,53,1
1,0.4,2,4,0,5,14,2,55,2,55,1
1,0.4,2,4,0,5,15,2,53,2,53,1
1,0.4,2,4,1,2,1,4,45,4,45,1
1,0.4,2,4,1,2,2,4,43,4,43,1
1,0.4,2,4,1,2,3,2,35,2,35,1
1,0.4,2,4,1,2,4,5,44,5,44,1
1,0.4,2,4,1,2,5,4,46,4,46,1
1,0.4,2,4,1,2,6,5,44,5,44,1
1,0.4,2,4,1,2,7,3,30,3,30,1
1,0.4,2,4,1,2,8,5,44,5,44,1
1,0.4,2,4,1,2,9,5,48,5,48,1
1,0.4,2,4,1,2,10,5,43,5,43,1
1,0.4,2,4,1,2,11,5,47,5,47,1
1,0.4,2,4,1,2,12,5,42,5,42,1
1,0.4,2,4,1,2,13,4,44,4,44,1
