"subjID","H","B","A","v","walk_no","path_leaf","reward","node","node_reward","step_no"
1,2,2,0,9,1,2,39,2,39,1
1,2,2,0,9,2,3,34,3,34,1
1,2,2,0,9,3,2,37,2,37,1
1,2,2,0,9,4,2,40,2,40,1
1,2,2,0,9,5,3,34,3,34,1
1,2,2,0,9,6,2,36,2,36,1
1,2,2,0,9,7,3,39,3,39,1
1,2,2,0,9,8,3,36,3,36,1
1,2,2,0,9,9,3,31,3,31,1
1,2,2,0,9,10,2,36,2,36,1
1,2,2,0,9,11,2,39,2,39,1
1,2,2,0,9,12,3,35,3,35,1
1,2,2,0,9,13,2,37,2,37,1
1,2,2,0,9,14,2,38,2,38,1
1,2,2,0,9,15,2,41,2,41,1
1,2,3,0,3,1,2,51,2,51,1
1,2,3,0,3,2,4,49,4,49,1
1,2,3,0,3,3,3,68,3,68,1
1,2,3,0,3,4,4,49,4,49,1
1,2,3,0,3,5,3,67,3,67,1
1,2,3,0,3,6,3,66,3,66,1
1,2,3,0,3,7,3,67,3,67,1
1,2,3,0,3,8,3,68,3,68,1
1,2,3,0,3,9,3,70,3,70,1
1,2,3,0,3,10,3,70,3,70,1
1,2,3,0,3,11,2,51,2,51,1
1,2,3,0,3,12,2,50,2,50,1
1,2,3,0,3,13,2,52,2,52,1
1,2,3,0,3,14,3,66,3,66,1
1,2,3,0,3,15,3,70,3,70,1
1,2,4,0,4,1,5,67,5,67,1
1,2,4,0,4,2,5,66,5,66,1
1,2,4,0,4,3,5,62,5,62,1
1,2,4,0,4,4,5,67,5,67,1
1,2,4,0,4,5,4,49,4,49,1
1,2,4,0,4,6,3,54,3,54,1
1,2,4,0,4,7,5,67,5,67,1
1,2,4,0,4,8,5,67,5,67,1
1,2,4,0,4,9,4,50,4,50,1
1,2,4,0,4,10,5,67,5,67,1
1,2,4,0,4,11,5,68,5,68,1
1,2,4,0,4,12,3,51,3,51,1
1,2,4,0,4,13,2,65,2,65,1
1,2,4,0,4,14,5,64,5,64,1
1,2,4,0,4,15,2,62,2,62,1
1,3,2,0,4,1,5,147,2,56,1
1,3,2,0,4,1,5,147,5,91,2
1,3,2,0,4,2,5,144,2,53,1
1,3,2,0,4,2,5,144,5,91,2
1,3,2,0,4,3,5,149,2,57,1
1,3,2,0,4,3,5,149,5,92,2
1,3,2,0,4,4,5,145,2,52,1
1,3,2,0,4,4,5,145,5,93,2
1,3,2,0,4,5,5,145,2,53,1
1,3,2,0,4,5,5,145,5,92,2
1,3,2,0,4,6,5,150,2,56,1
1,3,2,0,4,6,5,150,5,94,2
