"name","reward","parent"
1,44,
2,43,1
6,44,2
22,35,6
23,49,6
24,49,6
25,40,6
7,43,2
26,44,7
27,48,7
28,46,7
29,42,7
8,36,2
30,16,8
31,32,8
32,45,8
33,41,8
9,40,2
34,43,9
35,37,9
36,33,9
37,47,9
3,43,1
10,31,3
38,27,10
39,27,10
40,25,10
41,26,10
11,33,3
42,27,11
43,26,11
44,26,11
45,33,11
12,44,3
46,45,12
47,41,12
48,39,12
49,51,12
13,50,3
50,58,13
51,53,13
52,57,13
53,47,13
4,47,1
14,41,4
54,46,14
55,44,14
56,29,14
57,28,14
15,49,4
58,51,15
59,42,15
60,48,15
61,59,15
16,52,4
62,58,16
63,54,16
64,49,16
65,50,16
17,55,4
66,56,17
67,54,17
68,57,17
69,61,17
5,42,1
18,36,5
70,41,18
71,37,18
72,30,18
73,24,18
19,48,5
74,68,19
75,58,19
76,42,19
77,47,19
20,42,5
78,55,20
79,44,20
80,40,20
81,25,20
21,37,5
82,33,21
83,37,21
84,35,21
85,26,21
