"name","reward","parent"
1,51,
2,50,1
6,50,2
22,42,6
23,44,6
24,63,6
25,54,6
7,22,2
26,12,7
27,8,7
28,8,7
29,9,7
8,49,2
30,58,8
31,61,8
32,50,8
33,43,8
9,48,2
34,18,9
35,49,9
36,46,9
37,26,9
3,41,1
10,55,3
38,66,10
39,62,10
40,70,10
41,50,10
11,45,3
42,37,11
43,41,11
44,61,11
45,41,11
12,37,3
46,45,12
47,29,12
48,27,12
49,22,12
13,41,3
50,46,13
51,57,13
52,55,13
53,51,13
4,52,1
14,49,4
54,47,14
55,39,14
56,44,14
57,37,14
15,58,4
58,76,15
59,67,15
60,59,15
61,45,15
16,55,4
62,50,16
63,58,16
64,34,16
65,53,16
17,48,4
66,36,17
67,55,17
68,61,17
69,43,17
5,52,1
18,53,5
70,54,18
71,47,18
72,38,18
73,69,18
19,46,5
74,27,19
75,41,19
76,44,19
77,65,19
20,45,5
78,50,20
79,58,20
80,31,20
81,39,20
21,59,5
82,54,21
83,49,21
84,43,21
85,69,21
