"name","reward","parent"
1,49,
2,52,1
6,46,2
22,51,6
23,50,6
24,43,6
25,31,6
7,47,2
26,43,7
27,41,7
28,35,7
29,42,7
8,57,2
30,57,8
31,49,8
32,58,8
33,64,8
9,56,2
34,59,9
35,59,9
36,54,9
37,47,9
3,46,1
10,46,3
38,35,10
39,41,10
40,50,10
41,54,10
11,54,3
42,58,11
43,59,11
44,61,11
45,60,11
12,47,3
46,36,12
47,39,12
48,54,12
49,66,12
13,42,3
50,46,13
51,39,13
52,44,13
53,43,13
4,45,1
14,44,4
54,33,14
55,38,14
56,47,14
57,58,14
15,56,4
58,62,15
59,57,15
60,71,15
61,76,15
16,42,4
62,26,16
63,44,16
64,42,16
65,47,16
17,39,4
66,38,17
67,43,17
68,39,17
69,30,17
5,44,1
18,47,5
70,62,18
71,60,18
72,50,18
73,35,18
19,47,5
74,43,19
75,46,19
76,53,19
77,64,19
20,48,5
78,55,20
79,48,20
80,50,20
81,54,20
21,34,5
82,41,21
83,34,21
84,27,21
85,15,21
